camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,5,True,207.0,327.0,0.6330275229357798,107.91473340988159,29,23,227,13,True,31.923328399658203,12.373384475708008,121.99959564208984,0.9218289485151894
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,6,True,996.0,1130.5,0.8810260946483857,154.22539567947388,32,49,536,18,True,47.57196044921875,27.555397033691406,10.507353782653809,0.8151598222060731
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,7,True,1694.0,1954.0,0.8669396110542477,227.82337474822998,40,66,701,19,True,64.57857513427734,34.77921676635742,177.57618713378906,0.8425893464731634
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,8,True,1905.0,2354.5,0.8090889785517095,313.05119228363037,67,54,476,18,True,60.306636810302734,46.411434173583984,100.84601593017578,0.6385373655764484
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,9,True,1952.0,2433.0,0.802301685162351,344.90004885196686,76,45,525,19,True,70.98300170898438,39.197383880615234,94.02153778076172,0.8337063549358603
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,10,True,639.0,665.0,0.9609022556390977,112.91168737411499,23,41,438,17,True,40.72770309448242,19.307849884033203,11.833157539367676,0.8804862631263464
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,11,True,1299.0,1430.5,0.9080740999650472,182.61017167568207,53,42,399,22,True,56.28345489501953,31.068119049072266,122.86894226074219,0.8338482038243723
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,12,True,1359.0,1519.0,0.8946675444371297,180.85281229019165,49,45,398,19,True,53.29005813598633,33.69977951049805,46.49406051635742,0.7746550788002333
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,13,True,1940.0,2407.5,0.8058151609553479,264.5512965917587,70,49,497,24,True,63.81939697265625,44.135990142822266,73.2834243774414,0.7223032978221974
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,14,True,1742.0,2111.0,0.8252013263855993,248.99494767189026,54,55,445,22,True,60.27524185180664,40.126583099365234,42.05645751953125,0.7461994292489379
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,15,True,1966.0,2526.0,0.7783056215360253,362.25753009319305,64,61,515,22,True,68.41044616699219,41.23078536987305,132.29275512695312,0.7979699663775447
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,16,True,1067.0,1279.0,0.8342455043002346,194.5096664428711,35,53,624,17,True,51.329769134521484,28.58624267578125,25.81378746032715,0.8305704819357116
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,18,True,1464.0,1716.0,0.8531468531468531,246.40916121006012,59,42,424,20,True,56.007354736328125,35.85544967651367,112.44271850585938,0.7682151061237967
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,19,True,1568.0,1963.0,0.7987773815588385,248.06601536273956,51,55,439,19,True,59.58556365966797,38.414188385009766,134.042724609375,0.7644445198161909
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,20,True,1126.0,1350.0,0.8340740740740741,211.722869515419,38,54,537,18,True,47.38469696044922,32.69707489013672,10.360700607299805,0.7237764928909957
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,21,True,1701.0,2154.0,0.7896935933147632,290.59292674064636,45,67,737,22,True,59.90165710449219,41.2208251953125,7.557732582092285,0.7255763699771743
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,22,True,920.0,1015.0,0.9064039408866995,153.29646337032318,39,42,522,19,True,47.46495819091797,24.569950103759766,139.64059448242188,0.8555961108127673
10.9.1.29,none,none,none,none,none,none,2019-10-21-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-21-19-05.jpg,23,True,1664.0,2133.5,0.7799390672603703,277.4213538169861,69,47,474,21,True,62.21426010131836,40.393585205078125,89.85211944580078,0.7605616670157935
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,0,True,439.0,486.5,0.9023638232271326,104.66904675960541,37,18,250,12,True,44.0970458984375,13.799124717712402,96.07260131835938,0.9497774163715602
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,1,True,236.0,218.5,1.080091533180778,56.62741661071777,17,17,126,13,True,17.628108978271484,15.57890796661377,138.96255493164062,0.46795219205405214
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,2,True,674.0,832.0,0.8100961538461539,197.22542202472687,27,49,523,15,True,55.05987548828125,18.34675407409668,17.46140480041504,0.9428510137517221
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,3,True,338.0,399.0,0.8471177944862155,128.21716785430908,17,32,209,14,True,34.58209991455078,14.181922912597656,171.2198486328125,0.9120431156556621
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,4,True,422.0,471.0,0.8959660297239915,102.08326029777527,33,29,263,15,True,43.86747360229492,13.016118049621582,50.85236358642578,0.9549662145579921
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,5,True,265.0,363.5,0.7290233837689133,124.48273015022278,31,23,217,13,True,34.40424346923828,12.792831420898438,122.16828918457031,0.9282973297616284
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,6,True,269.0,321.5,0.8367029548989113,114.02883899211884,16,28,288,13,True,30.012182235717773,12.986310958862305,9.758041381835938,0.9015373342756188
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,7,True,500.0,612.0,0.8169934640522876,123.63960921764374,21,39,405,12,True,41.004234313964844,17.873029708862305,175.69395446777344,0.9000035629572455
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,8,True,654.0,749.5,0.8725817211474316,137.0538227558136,47,22,329,16,True,52.500736236572266,17.85676383972168,98.29170227050781,0.940380572006751
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,9,True,573.0,721.5,0.7941787941787942,178.33133971691132,45,23,318,18,True,49.123348236083984,17.81218147277832,98.92997741699219,0.9319444308017985
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,10,True,260.0,316.0,0.8227848101265823,107.47190737724304,16,28,279,15,True,29.827503204345703,13.066995620727539,11.674225807189941,0.8989333262661331
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,11,True,403.0,468.5,0.8601921024546425,97.35533845424652,30,26,224,16,True,35.400936126708984,15.714868545532227,126.49768829345703,0.8960708309506444
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,12,True,485.0,568.5,0.8531222515391381,111.01219260692596,33,31,265,15,True,42.337432861328125,15.8865327835083,49.44292068481445,0.9269292726406606
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,13,True,523.0,546.5,0.9569990850869168,106.18376553058624,38,20,247,17,True,41.38401794433594,16.647077560424805,79.12554931640625,0.9155260838321062
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,14,True,586.0,684.5,0.8560993425858291,120.32590091228485,35,36,298,14,True,48.034000396728516,17.363155364990234,42.781375885009766,0.9323812766213009
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,15,True,678.0,855.5,0.7925189947399182,207.63967394828796,44,36,332,15,True,53.35259246826172,19.162250518798828,123.39884948730469,0.9332750389022957
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,16,True,291.0,392.5,0.7414012738853503,130.4222513437271,22,33,363,11,True,37.435157775878906,12.831318855285645,25.502904891967773,0.939422574477806
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,18,True,498.0,626.0,0.7955271565495208,121.15432798862457,40,27,295,15,True,47.15897750854492,15.898885726928711,113.78975677490234,0.9414567407336946
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,19,True,538.0,658.5,0.8170083523158694,135.0538227558136,35,37,291,14,True,49.357398986816406,16.174747467041016,138.687744140625,0.9447795282280547
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,20,True,413.0,487.5,0.8471794871794872,147.46045696735382,18,38,397,15,True,42.76084518432617,14.258925437927246,8.303030967712402,0.9427651253525268
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,21,True,596.0,686.0,0.8688046647230321,125.39696860313416,24,44,472,16,True,50.464473724365234,16.70209312438965,15.426252365112305,0.9436422062458516
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,22,True,309.0,380.0,0.8131578947368421,121.67180025577545,27,26,224,15,True,34.3509521484375,13.236114501953125,136.20892333984375,0.9227829492987542
10.9.1.29,none,none,none,none,none,none,2019-10-18-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-18-19-05.jpg,23,True,591.0,684.0,0.8640350877192983,130.56854152679443,45,25,309,19,True,50.37115478515625,16.59794807434082,105.54344940185547,0.9441510537513543
